AERONET_Database_Site_List,Num=0,Date_Generated=01:09:2017,Months_Available_for_Year,2017
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Key_Biscayne,-80.163330,25.731966,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
Bonanza_Creek,-148.316269,64.742805,150.000000,0,0,0,1,0,0,0,0,0,0,0,0
Lille,3.141667,50.611667,60.000000,1,1,0,0,0,0,0,0,0,0,0,0
SERC,-76.500000,38.883335,10.000000,1,1,1,1,1,0,0,0,0,0,0,0
SANTA_CRUZ,-63.177717,-17.802133,442.000000,1,1,1,1,1,1,0,0,0,0,0,0
Dakar,-16.958611,14.394167,0.000000,1,0,0,0,0,0,0,0,0,0,0,0
Venise,12.508300,45.313900,10.000000,1,1,1,1,1,1,0,0,0,0,0,0
Egbert,-79.750000,44.225667,264.000000,1,1,1,1,0,0,0,0,0,0,0,0
Ispra,8.626700,45.803050,235.000000,1,1,1,1,1,0,0,0,0,0,0,0
Saturn_Island,-123.133000,48.783000,200.000000,1,1,1,0,0,0,0,0,0,0,0,0
Ilorin,4.340000,8.320000,350.000000,1,1,1,1,0,0,0,0,0,0,0,0
MCO-Hanimaadhoo,73.183183,6.776350,0.000000,1,1,1,1,1,0,0,0,0,0,0,0
NASA_LaRC,-76.378640,37.104960,5.000000,1,1,1,1,1,1,0,0,0,0,0,0
Rimrock,-116.991667,46.487500,824.000000,1,1,1,0,0,0,0,0,0,0,0,0
Paris,2.333333,48.866667,50.000000,1,1,1,1,0,0,0,0,0,0,0,0
Anmyon,126.330194,36.538537,47.000000,1,0,1,1,0,0,0,0,0,0,0,0
El_Arenosillo,-6.733472,37.105000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0
Churchill,-93.818167,58.736000,10.000000,0,0,0,1,1,1,0,0,0,0,0,0
Lampedusa,12.631667,35.516667,45.000000,1,1,1,1,0,0,0,0,0,0,0,0
Kanpur,80.231639,26.512778,123.000000,1,1,1,0,0,0,0,0,0,0,0,0
Seoul_SNU,126.951111,37.458056,116.000000,1,1,1,0,0,0,0,0,0,0,0,0
Rome_Tor_Vergata,12.647333,41.839550,130.000000,1,1,1,1,0,0,0,0,0,0,0,0
XiangHe,116.961500,39.753600,36.000000,1,1,1,1,1,0,0,0,0,0,0,0
CCNY,-73.949036,40.821313,100.000000,1,1,0,0,0,0,0,0,0,0,0,0
