AERONET_Database_Site_List,Num=0,Date_Generated=25:08:2017,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Moscow_MSU_MO,37.510000,55.700000,192.000000,1,1,1,1,0,0,0,0,0,0,0,0
Minsk,27.601000,53.920000,200.000000,0,0,1,1,1,1,1,1,1,1,0,0
Beijing,116.381370,39.976890,92.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kuopio,27.633606,62.892414,105.000000,0,0,0,1,1,1,1,1,1,1,0,0
Sao_Paulo,-46.734983,-23.561500,865.000000,1,1,1,1,1,1,1,1,1,0,0,0
Seoul_SNU,126.951111,37.458056,116.000000,1,1,1,1,1,1,1,1,1,1,1,1
Rome_Tor_Vergata,12.647333,41.839550,130.000000,1,1,1,1,1,1,1,1,1,1,1,1
Gosan_SNU,126.161667,33.292222,72.000000,1,0,1,1,1,1,1,1,1,0,0,0
XiangHe,116.961500,39.753600,36.000000,1,1,1,1,1,1,1,1,1,1,1,1
Davos,9.843800,46.812917,1596.000000,1,1,1,1,1,1,1,1,1,1,1,0
CCNY,-73.949036,40.821313,100.000000,0,0,0,0,0,0,0,1,1,1,0,1
Jabiru,132.893100,-12.660700,30.000000,1,1,1,1,1,1,0,0,0,0,0,0
Lake_Argyle,128.748500,-16.108100,150.000000,1,1,1,1,1,1,1,1,0,0,0,0
Munich_University,11.573000,48.148000,533.000000,1,1,1,1,1,1,0,0,0,0,0,0
Lecce_University,18.111389,40.335111,30.000000,1,1,1,1,0,0,0,0,0,0,0,0
ATHENS-NOA,23.775000,37.988000,130.000000,1,1,1,1,1,1,0,0,0,0,0,0
Taipei_CWB,121.500000,25.030000,26.000000,1,1,1,1,1,0,0,0,0,0,0,0
Chen-Kung_Univ,120.216667,23.000000,50.000000,1,1,1,1,1,1,0,0,0,0,0,0
Belsk,20.791667,51.836667,190.000000,1,1,1,1,1,1,1,1,0,0,0,0
Toravere,26.460000,58.255000,70.000000,1,1,1,1,1,1,1,0,0,0,0,0
Andenes,16.008611,69.278333,379.000000,0,1,1,1,1,1,1,1,1,1,0,0
Halifax,-63.594000,44.638000,65.000000,0,0,0,0,1,1,1,1,1,0,0,0
Villefranche,7.328889,43.683889,130.000000,1,1,1,1,1,1,1,1,1,1,0,0
Kuujjuarapik,-77.800000,55.300000,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
FORTH_CRETE,25.282417,35.332694,20.000000,1,1,1,1,1,1,1,1,1,0,0,0
Palencia,-4.515694,41.988572,750.000000,1,1,1,1,1,1,1,1,1,1,0,0
Canberra,149.111100,-35.271300,600.000000,1,1,1,1,1,1,1,1,1,1,1,1
